www 192.168.1.1
a3 192.168.1.71
1cv8 192.168.1.100
cisco2960 192.168.1.50
hp-v1905 192.168.1.20
oldserver 192.168.1.222
video1 192.168.1.110
ats 192.168.1.250
boss 192.168.1.10
security1 192.168.1.62
buh4 192.168.1.46
glavbuh 192.168.1.41
elcom 192.168.1.40
mishin 192.168.1.60
cherkashin 192.168.1.51
momiji 192.168.1.150
admin 192.168.1.150
inubashiri 192.168.1.150
sale00 192.168.1.12
sale01 192.168.1.11
evdokimov 192.168.1.78
security0 192.168.1.57
snab0 192.168.1.59
snab1 192.168.1.16
constructor1 192.168.1.14
lab 192.168.1.7
constructor3 192.168.1.175
reseption 192.168.1.5
sale00 192.168.1.12
sale03 192.168.1.72
alex 192.168.1.73
vadim 192.168.1.74
tel144 192.168.1.244
 
 
 
